,genre,year,word,freq
33,랩/힙합,2015,모습,18
41,랩/힙합,2015,게,17
7,랩/힙합,2015,겁,26
22,랩/힙합,2015,알,18
33,랩/힙합,2015,원래,11
35,랩/힙합,2015,건,34
59,랩/힙합,2015,편하게,10
73,랩/힙합,2015,싫었을,12
77,랩/힙합,2015,그래,15
120,랩/힙합,2015,전,16
14,랩/힙합,2015,그녀,10
21,랩/힙합,2015,돈,16
33,랩/힙합,2015,옆,12
2,랩/힙합,2015,취향,26
3,랩/힙합,2015,저격,26
5,랩/힙합,2015,느낌,20
9,랩/힙합,2015,가지,12
12,랩/힙합,2015,자기,11
33,랩/힙합,2015,보이,10
74,랩/힙합,2015,스타일,11
2,랩/힙합,2015,누가,16
38,랩/힙합,2015,미쳐,19
5,랩/힙합,2015,조금,19
0,랩/힙합,2015,오빠,13
120,랩/힙합,2015,랩,10
0,랩/힙합,2016,너,89
1,랩/힙합,2016,내,184
2,랩/힙합,2016,취향,26
3,랩/힙합,2016,저격,26
4,랩/힙합,2016,말,50
5,랩/힙합,2016,느낌,18
6,랩/힙합,2016,머리,11
8,랩/힙합,2016,난,80
9,랩/힙합,2016,가지,10
11,랩/힙합,2016,나,77
13,랩/힙합,2016,전,14
14,랩/힙합,2016,생각,23
31,랩/힙합,2016,모습,10
35,랩/힙합,2016,막,10
36,랩/힙합,2016,왜,25
43,랩/힙합,2016,없어,24
50,랩/힙합,2016,사랑,10
52,랩/힙합,2016,좀,13
53,랩/힙합,2016,그,24
56,랩/힙합,2016,또,20
69,랩/힙합,2016,니,15
78,랩/힙합,2016,날,39
79,랩/힙합,2016,때,23
0,랩/힙합,2016,오빠,11
2,랩/힙합,2016,넌,32
3,랩/힙합,2016,그냥,17
4,랩/힙합,2016,옆,10
7,랩/힙합,2016,해,44
8,랩/힙합,2016,아름다운,12
9,랩/힙합,2016,여자,13
16,랩/힙합,2016,애,21
24,랩/힙합,2016,안,23
48,랩/힙합,2016,있는,11
57,랩/힙합,2016,이,32
65,랩/힙합,2016,네,30
92,랩/힙합,2016,일,16
18,랩/힙합,2016,속,14
26,랩/힙합,2016,더,45
29,랩/힙합,2016,걸,22
36,랩/힙합,2016,꿈,15
47,랩/힙합,2016,오늘,14
54,랩/힙합,2016,이제,17
61,랩/힙합,2016,삶,10
74,랩/힙합,2016,지금,18
90,랩/힙합,2016,것,39
95,랩/힙합,2016,아닌,14
99,랩/힙합,2016,비,15
104,랩/힙합,2016,거,14
108,랩/힙합,2016,원해,10
114,랩/힙합,2016,살,11
17,랩/힙합,2016,널,28
20,랩/힙합,2016,눈,11
31,랩/힙합,2016,마,16
47,랩/힙합,2016,젠,11
48,랩/힙합,2016,알,14
67,랩/힙합,2016,위,28
87,랩/힙합,2016,맘,28
110,랩/힙합,2016,필요해,11
28,랩/힙합,2016,게,11
57,랩/힙합,2016,시간,28
76,랩/힙합,2016,모든,13
13,랩/힙합,2016,밤,31
20,랩/힙합,2016,수,16
47,랩/힙합,2016,파람,12
39,랩/힙합,2016,건,13
40,랩/힙합,2016,자꾸,11
9,랩/힙합,2016,술,11
36,랩/힙합,2016,사람,11
90,랩/힙합,2016,뭐,10
87,랩/힙합,2016,척척,15
15,랩/힙합,2016,빠라,12
16,랩/힙합,2016,바빠,12
17,랩/힙합,2016,빠,12
18,랩/힙합,2016,편히,38
3,랩/힙합,2017,너,86
5,랩/힙합,2017,해,22
7,랩/힙합,2017,난,77
10,랩/힙합,2017,아닌,11
12,랩/힙합,2017,날,31
14,랩/힙합,2017,다시,17
16,랩/힙합,2017,나,47
17,랩/힙합,2017,널,66
19,랩/힙합,2017,잡고,10
20,랩/힙합,2017,눈,31
21,랩/힙합,2017,속,13
22,랩/힙합,2017,보고,71
27,랩/힙합,2017,이,56
30,랩/힙합,2017,넌,25
31,랩/힙합,2017,마,20
38,랩/힙합,2017,노래,10
40,랩/힙합,2017,말,33
44,랩/힙합,2017,아니니까,16
46,랩/힙합,2017,내,101
51,랩/힙합,2017,더,45
52,랩/힙합,2017,것,55
54,랩/힙합,2017,애,15
56,랩/힙합,2017,지금,12
59,랩/힙합,2017,일,17
61,랩/힙합,2017,걸,15
64,랩/힙합,2017,우리,44
65,랩/힙합,2017,사랑,17
67,랩/힙합,2017,위,12
72,랩/힙합,2017,못,14
77,랩/힙합,2017,없던,10
84,랩/힙합,2017,길,10
87,랩/힙합,2017,맘,10
95,랩/힙합,2017,때,44
101,랩/힙합,2017,없어,11
109,랩/힙합,2017,네,37
7,랩/힙합,2017,시간,25
18,랩/힙합,2017,겨울,24
24,랩/힙합,2017,니,21
