ids,Year,Source,Target,Weight
53,2004,바보(N),같(P),10
54,2004,바보(N),놀리(P),5
55,2004,바보(N),보(P),5
56,2004,밤(N),오(P),5
57,2004,밥(N),죽(P),5
58,2004,부르세(N),없(P),5
59,2004,사람(N),같(P),6
60,2004,사람(N),놀리(P),5
61,2004,사람(N),만나(P),5
62,2004,사람(N),보(P),8
63,2004,사람(N),없(P),5
64,2004,사람(N),잊(P),6
65,2004,사랑(N),가(P),11
66,2004,사랑(N),갖(P),5
67,2004,사랑(N),그러(P),6
68,2004,사랑(N),그렇(P),6
69,2004,사랑(N),꿈꾸(P),7
70,2004,사랑(N),남(P),7
71,2004,사랑(N),되(P),13
72,2004,사랑(N),모르(P),20
73,2004,사랑(N),받(P),5
74,2004,사랑(N),버리(P),6
75,2004,사랑(N),빠지(P),6
76,2004,사랑(N),싫(P),6
77,2004,사랑(N),알(P),16
78,2004,사랑(N),없(P),21
79,2004,사랑(N),오(P),5
80,2004,사랑(N),있(P),11
81,2004,사랑(N),죽(P),5
82,2004,사랑(N),찾(P),5
83,2004,사랑(N),하(P),24
84,2004,세월(N),변하(P),7
85,2004,속(N),모르(P),12
86,2004,속(N),버리(P),6
87,2004,속(N),좋(P),6
88,2004,손(N),들(P),8
89,2004,손(N),잡(P),8
90,2004,술(N),취하(P),5
91,2004,숨(N),막히(P),7
92,2004,숨(N),쉬(P),6
93,2004,시간(N),있(P),6
94,2004,시간(N),흐르(P),5
95,2004,신(N),나(P),8
96,2004,안(N),있(P),5
97,2004,여자(N),누(P),8
98,2004,영원(N),없(P),9
99,2004,예감(N),좋(P),8
100,2004,오늘(N),오(P),6
101,2004,오늘(N),좋(P),5
102,2004,이마음(N),울(P),6
103,2004,이상(N),없(P),9
104,2004,이제(N),같(P),5
105,2004,이제(N),알(P),7
106,2004,이제(N),없(P),6
107,2004,이제(N),하(P),7
108,2004,일(N),하(P),7
109,2004,자리(N),있(P),5
110,2004,자신(N),없(P),8
111,2004,자신(N),있(P),6
112,2004,정신(N),차리(P),5
113,2004,추억(N),없(P),6
114,2004,춤(N),추(P),11
115,2004,친구(N),가(P),6
116,2004,하늘(N),보(P),12
117,2004,행복(N),없(P),6
118,2004,행복(N),좋(P),5
119,2004,행복(N),하(P),6
120,2004,후(N),되(P),5
121,2004,후회(N),없(P),10
